index,season,player,team,innings,runs,balls,strike_rate,dismissals,average
15814,2018,JJ Roy,Delhi Daredevils,5,120,95,126.32,4.0,30.0
16018,2018,Shubman Gill,Kolkata Knight Riders,10,203,139,146.04,6.0,33.83
16037,2018,Shivam Mavi,Kolkata Knight Riders,3,13,15,86.67,3.0,4.33
16048,2018,MG Johnson,Kolkata Knight Riders,2,16,11,145.45,0.0,16.0
16381,2018,P Negi,Royal Challengers Bangalore,2,3,5,60.0,2.0,1.5
16434,2018,CH Gayle,Kings XI Punjab,11,368,253,145.45,9.0,40.89
16551,2018,M Vijay,Chennai Super Kings,1,12,10,120.0,1.0,12.0
16796,2018,PP Chawla,Kolkata Knight Riders,5,27,34,79.41,4.0,6.75
16874,2018,Mohammed Shami,Delhi Daredevils,1,7,6,116.67,1.0,7.0
16876,2018,S Nadeem,Delhi Daredevils,1,6,8,75.0,0.0,6.0
16888,2018,TA Boult,Delhi Daredevils,1,0,2,0.0,1.0,0.0
17016,2018,MJ McClenaghan,Mumbai Indians,4,11,11,100.0,2.0,5.5
17078,2018,CJ Anderson,Royal Challengers Bangalore,3,17,22,77.27,3.0,5.67
17126,2018,UT Yadav,Royal Challengers Bangalore,5,3,11,27.27,4.0,0.75
17131,2018,Mohammed Siraj,Royal Challengers Bangalore,3,25,22,113.64,2.0,12.5
17762,2018,H Klaasen,Rajasthan Royals,4,57,47,121.28,3.0,19.0
17843,2018,STR Binny,Rajasthan Royals,5,44,39,112.82,5.0,8.8
18204,2018,M Vohra,Royal Challengers Bangalore,4,55,47,117.02,4.0,13.75
18312,2018,F du Plessis,Chennai Super Kings,6,162,129,125.58,5.0,32.4
18434,2018,RK Bhui,Sunrisers Hyderabad,1,0,5,0.0,1.0,0.0
18783,2018,JC Archer,Rajasthan Royals,6,15,20,75.0,5.0,3.0
18923,2018,BB Sran,Kings XI Punjab,3,3,7,42.86,1.0,3.0
18928,2018,PP Shaw,Delhi Daredevils,9,245,160,153.12,9.0,27.22
19044,2018,LE Plunkett,Delhi Daredevils,2,1,3,33.33,1.0,1.0
19046,2018,A Mishra,Delhi Daredevils,1,1,2,50.0,0.0,1.0
19106,2018,Mohammad Nabi,Sunrisers Hyderabad,2,18,12,150.0,2.0,9.0
19140,2018,Basil Thampi,Sunrisers Hyderabad,1,3,6,50.0,1.0,3.0
19280,2018,Mustafizur Rahman,Mumbai Indians,1,1,3,33.33,1.0,1.0
19381,2018,C de Grandhomme,Royal Challengers Bangalore,8,131,84,155.95,5.0,26.2
19741,2018,MK Tiwary,Kings XI Punjab,4,47,44,106.82,3.0,15.67
19760,2018,AS Rajpoot,Kings XI Punjab,3,11,18,61.11,3.0,3.67
20011,2018,Kuldeep Yadav,Kolkata Knight Riders,3,12,24,50.0,1.0,12.0
20268,2018,AD Hales,Sunrisers Hyderabad,6,148,119,124.37,6.0,24.67
20472,2018,MK Lomror,Rajasthan Royals,2,20,21,95.24,1.0,20.0
21114,2018,TG Southee,Royal Challengers Bangalore,4,52,46,113.04,2.0,26.0
21135,2018,JP Duminy,Mumbai Indians,2,36,40,90.0,1.0,36.0
21918,2018,PA Patel,Royal Challengers Bangalore,6,153,109,140.37,5.0,30.6
